,First12MonthOil_BBL,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD,gor scf/stb
0,35960.0,7411.0,1237.0258,1148.2241,51.0,2600.0,2600.0,8.08,145.63,129.67,78.99,59.0,130.17,-6014.65,0.01,40.64,7.21,3.41,0.0,13.59,1308.8,3681.840934371524
1,18669.018,10370.021,,,,1261.262458,763.0563214,9.94,110.3,90.95,69.77,63.95,90.29,-7886.27,0.01,12.44,0.24,1.56,2.15,1.6,302.59,2520.725246501985
2,260675.0,7471.0,2442.3772,1962.7172,48.0,752.4429522,752.4429522,9.47,81.96,116.28,71.14,70.65,99.81,-7139.56,0.02,6.64,4.33,0.75,0.1,3.27,7.04,4539.484031840415
3,205080.0,9799.0,2548.8423,2015.3563,43.0,1182.870377,1006.295644,10.29,107.95,87.86,64.3,64.74,85.47,-8000.61,0.07,37.53,5.03,6.17,1.39,2.61,478.22,2210.2361029842014
4,108171.07,6300.0,2027.8954,2292.8132,47.0,879.5935244,879.5935244,11.19,52.49,95.98,85.88,78.29,90.69,-8114.49,0.01,0.61,2.12,0.19,0.46,0.34,5179.07,2719.055288997326
5,250716.7,7930.0,5043.544,4812.549,44.0,684.8359014,684.8359014,11.41,102.15,81.46,69.4,57.49,85.81,-7688.39,0.11,2.73,0.07,1.96,19.77,0.81,53.74,1782.1949235930435
6,153560.0,11008.0,2010.6454,2000.8586,47.0,2511.273562,2511.273562,11.52,62.33,107.17,95.12,92.45,106.62,-8028.75,0.05,2.61,0.31,8.19,1.33,0.46,592.62,12347.785881740036
7,172018.0,3827.0,1181.3431,1295.1189,43.0,2600.0,2600.0,11.88,88.3,86.85,72.84,,84.68,-8013.17,0.0,50.13,17.8,10.91,,15.77,25.71,2695.8908370054296
8,83634.1,4303.0,,2732.4695,43.0,907.7276686,865.656963,9.96,103.39,78.79,62.86,58.82,78.23,-8077.15,0.02,1.07,1.68,0.01,1.15,0.43,12.6,2439.7614131078108
9,117335.234,11308.0,1087.6356,2428.2969,38.0,2600.0,2600.0,11.02,110.25,76.66,73.68,69.72,90.68,-8054.91,0.03,10.91,3.61,2.14,2.93,1.83,17.98,2247.4938772440682
10,261306.48,9001.0,2569.813,2058.778,45.0,2600.0,2600.0,11.25,85.25,80.62,67.51,65.84,80.59,-7757.03,0.11,96.47,0.38,0.34,5.62,0.56,1041.65,2598.9383807091194
11,153271.0,6980.0,,2564.744,46.0,652.7088905,652.7088905,10.77,130.21,86.84,58.52,68.84,77.54,-7611.5,0.01,237.08,19.21,53.27,1.45,5.21,403.64,8548.701319884389
12,117154.0,7830.0,1651.5981,712.69653,48.0,1058.139885,1058.139885,9.59,59.59,128.19,100.86,102.24,128.97,-8080.77,0.0,0.24,0.38,0.21,2.85,0.05,163.17,3649.3077487751166
13,138589.31,4745.0,1593.774,1636.752,43.0,985.8507687,985.8507687,10.5,84.07,76.91,62.77,,79.19,-8104.06,0.07,0.76,1.11,2.82,,1.1,48.1,1739.6521420014285
14,149666.0,6477.0,2836.9707,3267.8645,44.0,1967.512579,1967.512579,8.58,164.21,85.14,53.4,52.07,81.91,-7384.43,0.04,23.26,0.18,1.18,13.01,6.14,137.68,3324.4156989563426
15,192778.0,8361.0,2488.7058,2252.9695,43.0,838.5939879,838.5939879,10.5,109.35,86.14,65.5,58.41,82.87,-7657.84,0.09,21.72,3.02,4.99,6.13,0.71,462.92,2295.863635892062
16,85134.0,6512.0,2470.1992,2849.1526,48.0,2600.0,2600.0,7.65,167.59,86.4,46.18,48.2,82.38,-7369.99,0.24,19.4,0.37,9.25,25.61,7.47,139.73,4341.5321728099225
