Unformatted_API_UWI_14,ENVOperator,FirstProdDate,LateralLength_FT,ProppantIntensity_LBSPerFT,WaterIntensity_GALPerFT,OilGravity_API,AvgHzDistAtDrillTimeSameZone_FT,ClosestHzDistAtDrillTimeSameZone_FT,WellName,First12MonthOil_BBL,First12MonthGas_MCF
42109328220000,PDC ENERGY,7/1/2015,7411,1237.0258,1148.2241,51,,,STATE SRO 45-18X19 1H,35960,132399
42389366240000,CHEVRON,12/1/2019,10370.021,,,,1261.262458,763.0563214,MONROE 28-39 UNIT C 10H,18669.018,47059.465
42389367080000,EOG,8/1/2018,7471,2442.3772,1962.7172,48,752.4429522,752.4429522,STATE CREEK 17-8 UNIT 7H,260675,1183330
42389368300000,CHEVRON,12/1/2018,9799,2548.8423,2015.3563,43,1182.870377,1006.295644,RAGAN SMITH STATE 36-37 UNIT A 7H,205080,453275.22
42389369700000,DIAMONDBACK,11/1/2018,6300,2027.8954,2292.8132,47,879.5935244,879.5935244,MISBEHAVING STATE UNIT C19-19-14 606H,108171.07,294123.12
42475368690000,BATTALION OIL,8/1/2015,4121,1710.0725,1829.553,47,,,MONROE 34-228 WRD UNIT 1H,51738,376104
42389347270100,OCCIDENTAL,3/1/2015,,,,,,,VANGUARD 3 11H,,
42389367080001,EOG,8/1/2018,7471,,,,,,STATE CREEK 17-8 UNIT 7H,,
42389355069000,DIAMONDBACK,4/1/2017,,,,,,,CHECKERS STATE UNIT 54-12-21 606H,,
42389354430000,CHEVRON,9/1/2017,7930,5043.544,4812.549,44,684.8359014,684.8359014,TRIGGER 39-40 UNIT D 12H,250716.7,446826.03
42389356270000,DEVON,4/1/2018,11008,2010.6454,2000.8586,47,2511.273562,2511.273562,GEORGE 1 1H,153560,1896126
42389341850000,CHEVRON,7/1/2014,3827,1181.3431,1295.1189,43,,,CALAMITY JANE 2201H,172018,463741.75
42389349190000,OCCIDENTAL,3/1/2016,4303,,2732.4695,43,907.7276686,865.656963,EAGLE STATE 28 13H,83634.1,204047.25
42475368699000,BATTALION OIL,8/1/2015,,,,,,,MONROE 34-228 WRD UNIT 1H,,
42389342140100,UPCURVE ENERGY,10/1/2014,,,,,,,GAMBLER STATE 2501HU,,
42389366440000,CENTENNIAL RESOURCE DEVELOPMENT,6/1/2018,11308,1087.6356,2428.2969,38,,,RED ROCK A UNIT U 04H,117335.234,263710.22
42389367290000,CHEVRON,8/1/2018,9001,2569.813,2058.778,45,,,WYATT EARP 22-21 UNIT B 13H,261306.48,679119.44
42389368870000,CENTENNIAL RESOURCE DEVELOPMENT,9/1/2018,6980,,2564.744,46,652.7088905,652.7088905,EADY D 4 59-60 U 09H,153271,1310268
42301342840000,SHELL,10/1/2019,7830,1651.5981,712.69653,48,1058.139885,1058.139885,SNODGRASS 55-2-40 UNIT SW 1H,117154,427531
42389347270000,OCCIDENTAL,3/1/2015,4745,1593.774,1636.752,43,985.8507687,985.8507687,VANGUARD 3 11H,138589.31,241097.19
42389366470000,"MAPLE ENERGY HOLDINGS, LLC",5/1/2018,6477,2836.9707,3267.8645,44,1967.512579,1967.512579,DELIGHTFUL DASHER 11 1H,149666,497552
42389371540000,CHEVRON,9/1/2018,8361,2488.7058,2252.9695,43,838.5939879,838.5939879,TRIGGER 39-40 A-1 4H,192778,442592
42389371570000,"MAPLE ENERGY HOLDINGS, LLC",10/1/2018,6512,2470.1992,2849.1526,48,,,OMAHA 11-3 3H,85134,369612
42389372090000,APA CORP,11/1/2018,4308,2009.4274,1913.7786,52,815.4079368,815.4079368,BURNSIDE 409AH,110197,418694
42389372560000,"MAPLE ENERGY HOLDINGS, LLC",9/1/2019,7317,2504.1206,2568.5513,46,869.6569135,547.2129837,WAR ADMIRAL 24 3H,38163.375,362749
