UWI,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,MEDIAN_WFMP Upper A - GROSS,MEDIAN_WFMP Upper A - NET_DPHI>8,MEDIAN_WFMP Upper A - NET_GR>75_DPHI>8,MEDIAN_WFMP Upper A - NET_Res>30,MEDIAN_WFMP_UA_MRKR_SSTVD,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,VARIANCE_WFMP Upper A - GROSS,VARIANCE_WFMP Upper A - NET_DPHI>8,VARIANCE_WFMP Upper A - NET_GR>75_DPHI>8,VARIANCE_WFMP Upper A - NET_Res>30,VARIANCE_WFMP_UA_MRKR_SSTVD
42109326190000,5.82,115.92,105.07,53.72,,95.25,-5566.93,0.02,16.45,2.42,0.05,,2.8,10.51
42109326530000,7.77,63.18,84.56,52.09,,67.85,-5467.08,0.05,15.29,0.09,0.86,,2.03,64.85
42109326540000,9.32,48.76,141.75,94.76,86.25,100.22,-6154.35,0.01,0.1,2.83,2.91,1.37,13.71,17.92
42109328220000,8.08,145.63,129.67,78.99,59.0,130.17,-6014.65,0.01,40.64,7.21,3.41,0.0,13.59,1308.8
42109328300000,7.27,86.09,99.33,58.19,,86.12,-5621.27,0.04,29.41,1.59,0.07,,4.92,48.23
42109328350000,14.44,,36.43,26.23,,,-3949.97,0.01,,0.4,0.09,,,15.06
42109328360000,,,37.46,,,,-3749.36,,,0.11,,,,16.1
42109328590100,6.47,139.17,123.73,60.98,,112.93,-5707.24,0.0,9.27,1.2,1.62,,4.72,427.08
42109328630000,7.17,126.49,123.0,64.64,,110.74,-5760.56,0.0,23.21,3.79,3.7,,14.09,538.74
42109328700000,8.88,40.39,71.79,49.91,,50.09,-5285.56,0.07,7.68,9.39,8.04,,0.83,124.76
42109328720000,7.68,61.8,80.61,49.54,,64.5,-5430.44,0.07,15.17,0.08,0.99,,1.95,49.02
42109328750000,7.69,57.38,74.33,46.03,,58.23,-5359.96,0.08,13.32,0.04,1.41,,1.45,19.45
42109328810100,7.61,68.84,90.79,27.44,,70.71,-5288.35,0.0,0.13,0.02,0.26,,0.03,185.82
42109328920000,7.75,58.58,77.21,47.93,,60.86,-5393.39,0.07,12.89,0.03,1.2,,1.47,25.98
42109329690000,11.37,29.72,68.25,54.67,,40.53,-4699.53,0.37,0.12,22.08,14.6,,14.43,1323.41
42109329840000,8.51,,75.83,20.67,,,-4408.19,0.01,,0.43,0.02,,,1256.74
42109330290100,10.25,,46.47,22.81,,,-4170.48,0.0,,2.95,0.0,,,12.05
42109330380000,7.74,42.6,53.05,32.76,,35.82,-4875.79,0.14,6.92,0.16,5.07,,0.26,84.23
42109330400000,7.7,43.54,53.79,33.15,,36.91,-4913.44,0.16,8.04,0.11,4.72,,0.41,79.27
42109330420000,7.67,44.35,54.69,33.64,,37.95,-4950.45,0.17,8.99,0.05,4.32,,0.56,76.26
42109330470000,8.25,77.17,113.1,70.94,,96.33,-5803.97,0.02,49.2,0.66,0.05,,6.8,147.79
42109330600000,9.44,48.04,141.59,94.83,86.01,92.43,-6117.25,0.02,0.99,6.77,7.19,0.84,31.0,263.94
42109330930000,5.65,61.12,59.23,30.43,,46.64,-5045.76,0.27,12.69,0.73,0.45,,2.37,5.01
42109331200000,9.33,47.29,130.5,86.42,,86.44,-5949.69,0.01,3.75,3.21,2.72,,8.36,437.62
42109331380000,2.69,81.45,64.56,25.38,,53.86,-4855.48,0.12,0.68,2.76,0.0,,0.9,85.14
42109332180000,3.6,51.12,37.91,22.42,,30.16,-4416.16,0.25,6.5,4.2,0.03,,4.11,40.35
42109332390000,8.8,42.8,76.79,52.29,,54.64,-5348.76,0.06,9.04,7.23,6.31,,0.26,80.96
42109332980000,5.97,134.88,119.08,56.01,,106.92,-5621.39,0.0,6.6,0.86,1.75,,4.05,457.28
42109333070000,6.44,99.82,100.24,39.25,,80.08,-5442.07,0.02,16.72,5.62,3.94,,6.69,503.02
42109333260000,10.41,30.36,67.72,53.21,,41.35,-4833.76,0.3,0.26,26.8,15.59,,15.03,1063.43
42109333280000,10.65,30.15,67.96,53.72,,41.09,-4789.92,0.35,0.21,25.38,15.18,,14.98,1170.82
42109333700000,9.08,59.68,130.61,87.25,71.73,112.0,-6221.28,0.01,5.15,0.14,2.16,0.44,0.07,5.05
42109333710000,9.07,62.53,130.3,87.14,70.92,112.1,-6185.69,0.01,6.14,0.13,1.61,0.55,0.0,0.41
42109333790000,7.62,84.68,104.23,62.58,,90.09,-5680.96,0.05,50.71,2.14,0.08,,8.04,139.39
42109333800000,7.79,85.28,107.79,65.45,,93.38,-5723.78,0.04,53.6,2.01,0.04,,8.23,114.02
42109334420000,6.55,100.38,101.15,40.6,,81.01,-5496.48,0.02,24.55,9.31,6.03,,10.6,405.15
42109334570000,8.63,35.56,53.1,36.36,,31.47,-4681.93,0.13,5.31,4.82,21.56,,0.75,492.17
42109334660000,3.35,96.64,80.42,30.4,,67.23,-5047.31,0.04,0.11,0.45,0.05,,0.01,181.19
42109334670000,3.49,101.04,84.54,32.47,,71.2,-5113.48,0.02,0.08,0.2,0.04,,0.0,106.3
42109334780000,8.83,59.01,124.1,80.17,72.16,101.41,-5943.4,0.0,3.29,0.24,0.16,0.44,0.77,0.03
42109334790000,8.81,59.78,122.17,78.96,71.5,99.22,-5909.2,0.0,3.95,0.22,0.19,0.4,0.96,4.77
42109335160000,8.32,66.63,105.44,66.6,,85.66,-5665.08,0.01,6.93,0.01,0.2,,1.19,99.15
42109335590000,8.76,48.22,92.32,60.98,,66.89,-5499.72,0.03,10.8,3.52,3.22,,0.43,103.43
42109335960000,7.57,105.77,116.07,68.87,,104.53,-5771.05,0.01,17.31,1.16,0.01,,2.68,6.74
42301316250000,9.6,57.8,133.22,103.01,108.86,128.76,-8086.81,0.0,0.12,0.4,0.04,0.76,0.01,1.09
42301318640000,4.55,66.5,108.65,28.07,101.05,104.26,-8239.13,0.06,2.42,0.09,4.09,0.19,0.04,178.65
42301319110000,4.88,60.59,104.63,38.1,96.66,104.36,-8046.3,0.14,0.0,0.08,14.27,0.2,0.03,120.29
42301319680000,5.73,60.71,104.41,38.8,92.91,100.95,-8268.73,0.04,1.34,0.16,0.03,0.51,0.0,368.69
42301320460000,7.1,81.82,109.5,53.56,,101.38,-8276.73,0.05,7.43,1.98,10.77,,0.1,345.54
42301320500000,6.6,79.57,109.2,48.68,,102.11,-8287.1,0.07,5.91,0.62,11.08,,0.05,350.88
42301323350100,5.73,62.07,99.14,32.57,98.65,103.88,-8398.24,0.19,0.38,2.79,6.62,0.0,0.06,333.76
42301326520000,10.36,59.09,103.84,95.86,107.59,115.63,-8348.0,0.0,0.08,0.23,0.23,0.56,0.0,216.46
42301326540000,11.63,68.02,97.72,100.18,107.45,108.97,-8203.22,0.0,23.82,2.88,2.64,2.52,2.77,1490.85
42301326970000,9.61,56.44,126.54,100.08,108.74,125.71,-8181.54,0.0,0.17,1.21,0.06,2.19,0.03,9.59
42301326980000,9.6,56.74,127.86,100.6,108.59,126.36,-8162.42,0.0,0.19,1.16,0.08,2.18,0.03,10.4
42301328500000,11.29,65.13,98.77,98.92,107.36,110.56,-8226.95,0.0,13.77,1.67,1.66,2.24,1.94,1075.28
42301330230000,13.19,66.65,99.77,109.6,105.14,107.16,-8100.43,0.01,33.02,7.59,0.6,1.47,3.48,1123.88
42301330250000,13.88,69.59,99.46,113.08,104.97,105.34,-8100.96,0.01,26.31,6.47,2.23,0.96,2.77,854.18
42301335310100,9.72,61.6,141.08,108.69,108.4,134.03,-7900.08,0.0,0.72,0.97,0.11,1.75,0.0,95.58
