UWI,Well Name,Well Number,Well Label,KB Elev,DF Elev,GL Elev,Spud Date,Completion Date,Current Operator,Original Operator,Historical Operator,County,State,SurfLat,SurfLong,BHLatDec,BHLongDec,Zone Name,ZoneAttrName,Value
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,10.51
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.02
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,16.45
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP Upper A - GROSS,2.42
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP Upper A - NET_DPHI>8,0.05
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,VARIANCE_WFMP Upper A - NET_Res>30,2.8
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP_UA_MRKR_SSTVD,-5566.93
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_DPHI_100,5.82
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,115.92
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP Upper A - GROSS,105.07
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP Upper A - NET_DPHI>8,53.72
42109326190000,HORSESHOE SPRINGS S,1,HORSESHOE SPRINGS S : 1,,,3317,10/13/2013,,BPX OPERATING CO,,,CULBERSON,TEXAS,31.74401355,-104.1423642,31.72391753,-104.1423539,Grid Samples,MEDIAN_WFMP Upper A - NET_Res>30,95.25
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,VARIANCE_WFMP_UA_MRKR_SSTVD,64.85
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_DPHI_100,0.05
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,VARIANCE_WFMP Upper A - ARITH_MEAN_Resistivity_ALS,15.29
42109326530000,GATO DEL SOL LL 34,1H,GATO DEL SOL LL 34 : 1H,3411,,,7/8/2014,,CIMAREX ENERGY CO,,,CULBERSON,TEXAS,31.80314296,-104.153007,31.7827208,-104.1525856,Grid Samples,VARIANCE_WFMP Upper A - GROSS,0.09
